current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Mariah Carey,All I Want For Christmas Is You,Sony Music,73,1,2020-12-11,2020-12-17,2020,12
2,Wham!,Last Christmas,Epic,144,2,2020-12-11,2020-12-17,2020,12
3,Melanie Thornton,Wonderful Dream (Holidays Are Coming),X-Cell,120,3,2020-12-11,2020-12-17,2020,12
4,Chris Rea,Driving Home For Christmas,Warner Music International,61,4,2020-12-11,2020-12-17,2020,12
5,Shakin' Stevens,Merry Christmas Everyone,Epic,19,5,2020-12-11,2020-12-17,2020,12
6,Michael Bublé,It's Beginning To Look A Lot Like Christmas,Reprise Records,18,6,2020-12-11,2020-12-17,2020,12
7,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),Elektra France,18,4,2020-12-11,2020-12-17,2020,12
8,Paul McCartney,Wonderful Christmastime,Capitol,15,8,2020-12-11,2020-12-17,2020,12
9,Luna [DE],Verlierer,Four Music / Treppenhaus,2,3,2020-12-11,2020-12-17,2020,12
10,John & Yoko / The Plastic Ono Band with The Harlem Community Choir,Happy Xmas (War Is Over),EMI,29,10,2020-12-11,2020-12-17,2020,12
11,Band Aid,Do They Know It's Christmas?,Mercury,50,1,2020-12-11,2020-12-17,2020,12
12,24kGoldn feat. Iann Dior,Mood,Columbia,16,1,2020-12-11,2020-12-17,2020,12
13,Ariana Grande,Santa Tell Me,Universal,16,11,2020-12-11,2020-12-17,2020,12
14,Mero feat. Elif,Bitte geh,Groove Attack TraX,1,14,2020-12-11,2020-12-17,2020,12
15,Kelly Clarkson,Underneath The Tree,RCA International,12,15,2020-12-11,2020-12-17,2020,12
16,José Feliciano,Feliz Navidad,RCA International,46,15,2020-12-11,2020-12-17,2020,12
17,The Weeknd,Blinding Lights,Republic Records,54,1,2020-12-11,2020-12-17,2020,12
18,Brenda Lee,Rockin' Around The Christmas Tree,Universal,11,18,2020-12-11,2020-12-17,2020,12
19,Pentatonix,Hallelujah,RCA International,25,4,2020-12-11,2020-12-17,2020,12
20,Bryan Adams,Christmas Time,Universal,14,19,2020-12-11,2020-12-17,2020,12
21,Lune,Gebe auf.,Lune,9,2,2020-12-11,2020-12-17,2020,12
22,Joel Corry feat. MNEK,Head & Heart,Atlantic,21,4,2020-12-11,2020-12-17,2020,12
23,Bobby Helms,Jingle Bell Rock,K-Tel,11,23,2020-12-11,2020-12-17,2020,12
24,Queen,Thank God It's Christmas,Universal,20,16,2020-12-11,2020-12-17,2020,12
25,Justin Bieber,Mistletoe,Island,15,25,2020-12-11,2020-12-17,2020,12
26,Rolf Zuckowski und seine Freunde,In der Weihnachtsbäckerei,Musik für Dich,17,20,2020-12-11,2020-12-17,2020,12
27,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes,Spinnin' Records,19,6,2020-12-11,2020-12-17,2020,12
28,Bonez MC,Angeklagt,187 Strassenbande,7,1,2020-12-11,2020-12-17,2020,12
29,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,Internet Money,17,2,2020-12-11,2020-12-17,2020,12
30,Robin Schulz feat. Kiddo,All We Got,Warner Music Germany,8,14,2020-12-11,2020-12-17,2020,12
31,Shawn Mendes / Justin Bieber,Monster,Shawn Mendes LP4-5 PS,3,6,2020-12-11,2020-12-17,2020,12
32,Purple Disco Machine & Sophie And The Giants,Hypnotized,Columbia,19,18,2020-12-11,2020-12-17,2020,12
33,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol,8,33,2020-12-11,2020-12-17,2020,12
34,Billie Eilish,Therefore I Am,Interscope,4,5,2020-12-11,2020-12-17,2020,12
35,Vize x Joker Bra x Leony,Paradise,Kontor Records,16,4,2020-12-11,2020-12-17,2020,12
36,Michael Bublé,Holly Jolly Christmas,Reprise Records,4,36,2020-12-11,2020-12-17,2020,12
37,Tiësto,The Business,Atlantic,6,34,2020-12-11,2020-12-17,2020,12
38,Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),Columbia,26,1,2020-12-11,2020-12-17,2020,12
39,Coldplay,Christmas Lights,Parlophone Label Group,13,26,2020-12-11,2020-12-17,2020,12
40,Tate McRae,You Broke Me First,RCA International,16,22,2020-12-11,2020-12-17,2020,12
41,Vega & Samra,Hyänen,Urban,1,41,2020-12-11,2020-12-17,2020,12
42,Mark Forster x Vize,Bist du okay,Four Music,11,11,2020-12-11,2020-12-17,2020,12
43,Miley Cyrus,Midnight Sky,RCA,17,27,2020-12-11,2020-12-17,2020,12
44,Andy Williams,It's The Most Wonderful Time Of The Year,Sony Music,7,40,2020-12-11,2020-12-17,2020,12
45,Miley Cyrus feat. Dua Lipa,Prisoner,RCA International,3,20,2020-12-11,2020-12-17,2020,12
46,HVME,Goosebumps,Columbia / B1,12,23,2020-12-11,2020-12-17,2020,12
47,Meduza feat. Dermot Kennedy,Paradise,Virgin Records,6,30,2020-12-11,2020-12-17,2020,12
48,CJ,Whoopty,Equity Distribution,5,48,2020-12-11,2020-12-17,2020,12
49,Ariana Grande,Positions,Republic Records,7,9,2020-12-11,2020-12-17,2020,12
50,Britney Spears,My Only Wish (This Year),Sony Music,12,33,2020-12-11,2020-12-17,2020,12
51,Mark Forster,Übermorgen,Four Music,32,7,2020-12-11,2020-12-17,2020,12
52,Sarah Connor,The Best Side Of Life,X-Cell,24,4,2020-12-11,2020-12-17,2020,12
53,Pop Smoke,What You Know Bout Love,Victor Victor Worldwide,11,12,2020-12-11,2020-12-17,2020,12
54,Twocolors,Lovefool,Virgin Records,25,11,2020-12-11,2020-12-17,2020,12
55,SAINt JHN,Roses (Imanbek Remix),Columbia / B1,54,3,2020-12-11,2020-12-17,2020,12
56,Justin Bieber & Benny Blanco,Lonely,Def Jam,8,9,2020-12-11,2020-12-17,2020,12
57,Tones And I,Dance Monkey,Bad Batch Records,70,1,2020-12-11,2020-12-17,2020,12
58,Casar,Habibi,Urban,5,9,2020-12-11,2020-12-17,2020,12
59,Dean Martin,Rudolph The Red Nosed Reindeer,Capitol,6,59,2020-12-11,2020-12-17,2020,12
60,Topic feat. A7S,Breaking Me,Virgin Records,49,3,2020-12-11,2020-12-17,2020,12
61,Daryl Hall & John Oates,Jingle Bell Rock (Daryl's Version),RCA International,5,30,2020-12-11,2020-12-17,2020,12
62,DaBaby feat. Roddy Ricch,Rockstar,Interscope,34,3,2020-12-11,2020-12-17,2020,12
63,Nash & Azet,Kristall,KMN Gang,1,63,2020-12-11,2020-12-17,2020,12
64,KC Rebell x Summer Cem,Down,Banger Musik,3,5,2020-12-11,2020-12-17,2020,12
65,Meghan Trainor,I'll Be Home,Epic,5,45,2020-12-11,2020-12-17,2020,12
66,Kylie Minogue,Santa Baby,Parlophone Label Group,3,60,2020-12-11,2020-12-17,2020,12
67,Mariah Carey feat. Ariana Grande & Jennifer Hudson,Oh Santa!,Legacy Recordings,1,67,2020-12-11,2020-12-17,2020,12
68,Zuna,1 Stunde,KMN Gang,2,12,2020-12-11,2020-12-17,2020,12
69,Alligatoah x Sido,Monet,Trailerpark,8,9,2020-12-11,2020-12-17,2020,12
70,David Guetta & Sia,Let's Love,Parlophone Label Group,13,30,2020-12-11,2020-12-17,2020,12
71,K.I.Z.,Berghainschlange,Eklat Tonträger,1,71,2020-12-11,2020-12-17,2020,12
72,Apache 207,Roller,Four Music / TwoSides,68,1,2020-12-11,2020-12-17,2020,12
73,Hava,Schwerelos,RCA,1,73,2020-12-11,2020-12-17,2020,12
74,Gwen Stefani feat. Blake Shelton,You Make It Feel Like Christmas,Interscope,4,53,2020-12-11,2020-12-17,2020,12
75,Bing Crosby,White Christmas,Universal,12,53,2020-12-11,2020-12-17,2020,12
76,Bozza,Elbe,Def Jam Germany,11,12,2020-12-11,2020-12-17,2020,12
77,Vize & Tom Gregory,Never Let Me Down,Kontor Records,33,8,2020-12-11,2020-12-17,2020,12
78,Jason Derulo,Take You Dancing,Atlantic,20,15,2020-12-11,2020-12-17,2020,12
79,Ufo361,Emotions,Stay High,33,1,2020-12-11,2020-12-17,2020,12
80,Lil Nas X,Holiday,Columbia,2,77,2020-12-11,2020-12-17,2020,12
81,LA Vision & Gigi D'Agostino,Hollywood,Universal Domestic Polydor,22,10,2020-12-11,2020-12-17,2020,12
82,Frank Sinatra,Jingle Bells,Capitol,3,82,2020-12-11,2020-12-17,2020,12
83,Jonas Brothers,Like It's Christmas,Republic Records,2,74,2020-12-11,2020-12-17,2020,12
84,Ava Max,Christmas Without You,Atlantic,1,84,2020-12-11,2020-12-17,2020,12
85,Dennis Lloyd,Alien,Sony Music,15,32,2020-12-11,2020-12-17,2020,12
86,Sam Smith,Diamonds,Capitol,6,69,2020-12-11,2020-12-17,2020,12
87,Shawn Mendes,Wonder,Island,9,47,2020-12-11,2020-12-17,2020,12
88,Felix Jaehn feat. Nea & Bryn Christopher,No Therapy,Virgin Records,15,31,2020-12-11,2020-12-17,2020,12
89,Nea,Some Say,Columbia,45,15,2020-12-11,2020-12-17,2020,12
90,Apache 207,Bläulich,Four Music / TwoSides,23,1,2020-12-11,2020-12-17,2020,12
91,Pashanim,Airwaves,Urban,30,2,2020-12-11,2020-12-17,2020,12
92,BTS,Dynamite,2020 BigHit Entertainment,16,8,2020-12-11,2020-12-17,2020,12
93,Frank Sinatra,Santa Claus Is Coming To Town,Sony Music,3,85,2020-12-11,2020-12-17,2020,12
94,Jason Derulo x Nuka,Love Not War (The Tampa Beat),Columbia,3,72,2020-12-11,2020-12-17,2020,12
95,KitschKrieg feat. Jamule,Unterwegs,SoulForce Records / BMG,18,1,2020-12-11,2020-12-17,2020,12
96,Helene Fischer & The Royal Philharmonic Orchestra,Rudolph The Red-Nosed Reindeer,Universal Domestic Polydor,1,96,2020-12-11,2020-12-17,2020,12
97,Albert Hammond,Under The Christmas Tree,Sony Music,1,97,2020-12-11,2020-12-17,2020,12
98,Sarah Connor,Christmas In My Heart,X-Cell,13,4,2020-12-11,2020-12-17,2020,12
99,Ava Max,Kings & Queens,Atlantic,38,16,2020-12-11,2020-12-17,2020,12
100,Michael Bublé & Shania Twain,White Christmas,Reprise Records,7,35,2020-12-11,2020-12-17,2020,12
